Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011
4CWQ.A,24,24,5,0,6,0,0,1,1,0,0,0
6EYA.A,16,16,10,0,7,0,0,0,0,0,0,0
1YET.A,26,26,11,0,9,3,0,0,2,4,1,0
5J9X.A,19,19,8,0,7,0,0,0,0,2,3,0
4EEH.A,24,23,4,0,12,4,5,0,2,0,5,0
5XRB.A,22,27,9,0,2,0,0,0,0,0,0,0
4O0B.A,16,21,6,0,3,3,0,0,0,0,3,0
5XR9.A,19,21,11,0,4,0,0,0,0,0,0,0
4AWP.A,17,17,7,0,5,3,2,0,0,0,7,0
6GR4.A,18,18,7,0,13,6,0,0,3,2,0,2
5CF0.A,22,22,11,0,4,3,0,0,2,0,2,0
1YC1.A,20,20,12,0,7,2,3,0,2,3,1,0
2XAB.B,20,25,11,0,6,0,0,0,0,0,2,0
7S99.A,28,28,3,0,7,4,0,1,3,7,6,0
2XDS.A,25,25,6,0,4,0,0,0,0,0,0,0
6U98.A,24,23,4,0,4,0,0,0,0,0,0,0
5XQD.A,32,31,8,0,6,5,0,0,7,0,3,2
6U9B.A,24,17,4,0,7,0,0,0,0,0,0,0
3T2S.A,17,16,7,0,7,3,0,0,2,0,4,0
4HY6.A,17,17,4,0,2,2,0,0,0,0,0,0
4B7P.A,25,25,6,0,10,2,0,0,2,4,3,0
4U93.A,21,21,8,0,4,0,0,0,0,0,0,0
2YEI.A,27,26,7,0,4,3,0,0,0,0,0,0
3T10.A,27,26,7,0,5,2,11,0,3,2,0,0
3B24.A,20,17,2,0,11,4,0,0,5,4,3,0
6GPF.A,32,32,5,0,2,0,11,0,2,2,0,4
2YE6.A,20,20,10,0,13,3,0,0,4,6,7,0
2YI0.A,21,20,9,0,11,5,0,0,2,7,6,3
4YKR.A,23,23,11,0,8,0,0,0,0,2,2,0
7LSZ.A,17,19,13,0,2,0,0,0,0,0,0,0
4YKY.A,18,17,2,0,11,4,0,0,2,0,4,1
3BMY.A,17,18,7,0,6,0,0,0,0,0,0,0
2YI5.A,14,20,8,0,7,0,0,0,0,6,2,0
3WHA.A,24,24,8,0,7,0,0,0,0,0,0,0
6N8X.A,18,18,4,0,3,0,0,0,0,0,0,1
4XIR.A,23,23,3,0,5,2,0,0,0,0,0,0
6CYG.B,19,17,7,0,10,6,0,0,2,4,6,0
6ELP.A,18,22,11,0,3,0,0,0,0,0,0,0
3R4M.A,17,17,9,0,9,6,0,0,0,6,2,0
3HYY.A,22,22,5,0,6,0,0,0,0,0,0,0
2XJJ.B,22,24,13,0,8,0,0,0,2,0,0,0
4O05.A,18,18,7,0,2,2,0,0,0,0,2,0
3QTF.A,14,19,8,0,0,2,0,0,0,0,0,0
5OD7.A,23,23,3,0,7,0,0,0,0,0,0,0
4FCP.A,17,17,8,0,10,6,0,0,6,2,3,0
3RKZ.A,23,23,10,0,4,2,0,0,0,0,0,0
3INW.A,19,20,11,0,2,0,0,0,0,2,2,0
2UWD.A,18,16,10,0,12,4,0,0,2,0,4,1
4AWO.B,17,22,8,0,3,3,0,0,0,2,1,0
6U9A.A,19,19,3,0,4,0,0,0,0,0,0,0
4L94.A,19,13,2,0,10,0,0,0,0,2,1,0
2CCS.A,28,25,8,0,12,7,0,0,5,0,4,3
3HYZ.B,23,23,4,0,8,0,0,0,0,2,1,0
5ZR3.G,27,27,11,0,3,0,0,0,0,0,0,0
7S90.A,19,19,3,0,12,7,0,0,2,3,3,0
3K97.A,22,21,7,0,3,2,0,0,0,0,0,0
8AGJ.B,21,16,13,0,0,0,3,3,9,0,0,0
6GPT.A,20,20,6,0,10,0,0,0,2,6,2,0
4L8Z.A,17,17,2,0,7,2,2,0,0,2,2,0
7S8Z.A,25,23,2,0,9,3,0,0,6,3,6,0
2WI7.A,16,16,5,0,6,2,0,0,0,0,0,0
2YEC.A,30,30,2,0,11,2,0,0,4,3,4,0
4O04.A,22,24,4,0,3,1,0,0,0,0,0,0
4CWN.A,17,17,2,0,5,0,0,0,0,0,0,0
2YEG.B,19,24,4,0,10,3,0,1,2,0,0,0
6OLX.A,19,23,5,0,2,0,0,0,0,0,0,0
3T1K.A,16,16,5,0,8,3,0,0,0,1,10,0
3O0I.A,20,20,6,0,5,0,0,0,0,0,0,0
2H55.A,20,20,6,0,7,0,0,0,0,0,0,0
1UYF.A,14,20,8,0,0,0,0,0,0,0,0,0
4FCR.A,19,22,8,0,5,0,0,0,0,2,1,2
2BT0.B,18,27,8,0,5,3,0,0,2,0,0,0
8B7I.A,22,22,0,0,4,15,0,0,1,3,6,0
7S95.A,15,15,3,0,12,6,0,0,0,2,5,0
6EL5.A,20,19,8,0,4,0,0,0,0,0,0,0
2YE3.A,23,23,3,0,11,0,0,1,6,4,7,2
5ZR3.A,12,21,11,0,2,0,0,0,0,0,0,1
1UYL.A,28,28,5,0,11,0,3,1,2,0,5,0
7S9G.A,22,22,7,0,4,0,0,0,0,0,2,0
2YED.A,17,14,2,0,9,3,0,0,2,0,5,0
6EY8.A,17,32,16,0,3,0,0,0,0,0,0,0
8AGL.A,18,16,15,0,9,0,0,6,12,0,0,0
1UY9.A,24,23,7,0,4,0,0,0,0,0,2,0
5J80.A,19,19,4,0,12,4,0,0,0,0,2,2
5LO1.A,18,18,16,0,4,0,0,11,0,0,0,0
5J64.A,18,18,1,0,12,3,0,0,3,5,5,1
4BQG.A,20,20,6,0,4,0,0,0,0,0,0,0
5ODX.A,21,28,8,0,0,0,0,0,0,0,0,0
4XIT.A,18,19,6,0,4,2,0,0,0,0,2,0
3HZ5.A,17,17,3,0,6,0,0,0,0,0,0,0
4L93.B,16,17,12,0,7,0,0,0,2,0,3,1
2XAB.A,22,22,10,0,11,7,0,0,3,2,0,2
7S9H.A,23,21,4,0,6,0,0,0,0,0,0,0
4NH7.A,25,25,6,0,3,0,0,0,0,0,0,2
4L93.A,17,19,12,0,3,0,0,0,0,2,1,0
4O09.A,27,27,5,0,2,2,0,0,0,0,0,0
6CEO.A,17,14,3,0,5,3,0,0,7,2,2,0
2YE2.A,15,17,1,0,11,2,0,0,2,6,6,0
6FCJ.A,18,18,7,0,4,2,0,0,0,2,4,0
6GPP.A,30,29,7,0,0,0,13,0,4,2,1,3
4XIQ.A,23,23,7,0,4,0,0,0,0,0,0,0
3T0H.A,28,28,3,0,13,8,0,0,2,3,3,2
4CWS.A,20,24,6,0,4,0,0,0,0,0,0,0
2XJJ.A,20,20,12,0,6,2,0,0,0,0,0,0
1BYQ.A,16,14,6,0,2,2,0,0,0,3,3,0
2BZ5.A,20,26,11,0,6,0,0,0,2,0,0,0
6F1N.A,22,22,8,0,9,3,0,0,0,0,5,0
3R92.A,22,25,6,0,5,0,0,0,0,0,0,0
2FWZ.A,26,24,5,0,7,0,0,0,0,0,0,0
3VHC.A,28,29,10,0,10,3,0,0,0,6,3,0
2XHT.A,23,23,6,0,5,0,0,0,3,4,3,0
2XHR.A,23,23,8,0,7,3,0,0,0,0,0,0
2YEB.A,15,14,2,0,9,3,0,1,3,8,6,0
5XR5.A,24,27,8,0,2,0,0,0,0,0,0,0
3D0B.A,17,18,8,0,4,0,0,0,0,0,0,0
5XRE.A,24,24,9,0,6,0,0,0,0,0,0,0
5NYH.A,25,26,12,0,2,0,0,0,0,0,0,0
2XJX.A,20,19,10,0,8,0,0,0,1,6,3,0
2XDL.A,29,29,6,0,10,4,5,0,4,4,2,0
4NH8.A,21,21,6,0,3,2,0,0,2,2,1,0
2XHX.A,25,22,8,0,8,2,0,1,4,5,1,0
5FNC.A,22,22,8,0,5,0,0,0,0,0,0,0
4L90.A,16,16,3,0,6,0,0,0,0,2,2,0
2YEA.A,22,21,1,0,13,2,0,0,5,0,5,3
3MNR.P,16,18,6,0,5,2,0,0,0,0,2,0
1UYH.A,20,18,5,0,6,0,0,0,0,0,0,0
5J6M.A,15,15,11,0,5,2,0,0,0,0,0,10
7LT0.A,20,21,11,0,3,2,0,0,0,0,0,0
2BT0.A,17,13,9,0,13,4,0,0,2,0,4,0
5XQE.A,22,24,11,0,2,0,0,0,0,0,0,0
5FND.A,35,33,6,0,8,3,0,0,3,2,3,0
3QDD.A,20,20,5,0,5,0,0,0,0,0,0,0
4YKX.A,17,16,6,0,10,0,0,0,3,4,4,2
3HYZ.A,30,30,4,0,8,0,0,0,2,0,0,1
2YEG.A,16,16,3,0,6,5,0,0,0,4,4,0
3VHA.A,20,17,12,0,6,2,0,0,2,8,4,0
1YC3.A,31,30,10,0,11,3,0,0,1,3,2,0
3B24.B,28,28,4,0,5,3,0,0,0,0,0,0
1YER.A,14,14,5,0,13,4,0,1,5,0,5,0
3T2S.B,27,27,7,0,8,5,0,0,2,0,3,0
5J6N.A,21,21,10,0,5,0,0,0,0,0,0,8
2YE4.A,15,12,1,0,12,2,0,0,3,3,5,0
4AWO.A,15,16,10,0,2,3,2,0,0,4,4,0
6GR3.A,22,22,6,0,4,0,12,0,2,7,2,0
8AGJ.A,24,25,9,0,7,0,0,4,8,0,0,0
2CCT.A,16,16,10,0,11,6,0,0,4,0,7,1
8AGI.A,27,26,13,0,9,0,0,3,5,0,2,0
4CWO.A,18,18,4,0,4,0,0,0,0,0,0,0
1UYI.A,19,19,11,0,3,0,0,0,0,0,0,0
2YEF.A,30,29,7,0,7,4,0,0,1,6,1,0
6LTI.A,22,21,14,0,5,0,0,0,2,3,2,0
6GQU.A,26,26,4,0,4,0,9,0,2,5,0,0
5FNF.A,21,21,5,0,3,0,0,0,0,0,0,0
6CYH.A,23,23,5,0,7,3,0,0,0,0,0,0
4BQJ.A,20,20,6,0,8,0,0,0,0,2,0,0
3FT8.A,23,20,4,0,4,0,0,0,0,0,0,0
7S9I.A,23,23,7,0,5,0,0,0,0,0,0,0
5VYY.A,15,21,18,0,3,0,0,0,0,0,0,2
2FWY.A,21,19,6,0,5,0,0,0,0,0,0,0
7S9F.A,21,21,6,0,2,0,0,0,0,0,0,0
8AGI.B,17,16,13,0,0,0,3,4,10,4,2,0
6B9A.B,25,25,8,0,11,5,0,0,4,4,8,0
5J8U.B,19,20,3,0,5,2,0,0,0,0,3,0
6GPY.A,22,22,5,0,11,0,0,0,2,8,3,0
2WI6.A,15,20,9,0,2,5,0,0,0,0,0,0
3INX.A,16,19,6,0,2,2,0,0,0,0,3,0
5J86.A,25,25,17,0,6,0,0,0,0,0,0,0
4CWR.A,23,24,3,0,6,2,0,0,0,0,0,0
2VCJ.A,17,16,7,0,7,0,0,1,3,5,5,0
4EFU.A,16,21,16,0,0,0,0,0,0,0,0,0
4YKT.A,22,22,5,0,9,0,0,0,0,0,2,1
2WI5.A,15,19,6,0,7,3,0,0,4,0,6,1
6EYB.A,17,22,15,0,4,0,0,0,0,0,0,0
4CWP.A,21,20,4,0,3,0,0,0,0,0,0,0
4XIP.A,19,19,7,0,4,2,0,0,0,0,0,0
3B26.B,16,15,3,0,12,3,0,0,3,0,6,2
5LO5.A,27,27,10,0,0,2,0,0,0,0,0,0
6CYH.B,22,22,7,0,9,4,4,0,6,6,5,0
5J8U.A,15,16,3,0,9,3,0,0,0,0,6,0
5NYI.A,22,22,8,0,9,2,6,0,3,0,0,0
7S98.A,16,18,7,0,10,0,0,0,1,0,2,0
5M4E.A,29,28,3,0,10,0,0,0,0,0,3,1
2WI1.A,21,21,2,0,8,5,0,0,2,2,5,0
6GPW.A,26,26,6,0,10,7,0,0,4,2,5,0
4AWP.B,19,19,9,0,6,0,0,0,0,5,5,0
4EFT.A,22,24,9,0,6,0,0,0,0,0,3,0
2WI4.A,19,18,5,0,5,0,0,0,0,0,0,0
