Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005
6E3Z.B,19,0,0,0,0,0
3IXK.A,20,4,3,0,0,0
3INF.A,18,11,7,0,0,0
2OHQ.A,17,11,10,0,0,0
6BFE.A,22,5,5,0,0,0
5IE1.A,15,2,2,5,9,2
3L58.B,17,7,7,0,0,0
5QCO.C,22,6,5,0,0,0
3L5C.A,19,10,10,0,0,0
4B00.A,21,5,2,0,0,0
2F3E.B,19,8,1,0,0,0
1XN2.B,18,5,5,0,0,0
3UDJ.A,22,3,0,0,0,0
5QCW.A,16,5,3,0,0,0
5QDA.C,17,12,7,0,0,0
4L7G.A,19,11,5,0,0,0
3LHG.A,18,12,2,0,0,0
3UDM.A,23,0,2,0,0,0
3RSV.A,24,4,4,0,0,0
4LXA.C,17,15,5,0,0,0
3OHF.B,17,7,7,0,0,0
2P4J.C,17,8,14,0,0,0
3PI5.C,20,15,13,0,0,0
1FKN.A,25,3,3,0,0,0
4LXK.A,21,5,2,0,0,0
3HVG.A,18,1,3,0,0,0
2QU3.A,20,11,6,0,0,0
5DQC.C,17,8,3,0,0,0
4DI2.A,19,7,4,0,0,0
5HDU.B,23,2,2,0,0,0
6NV7.B,19,0,0,0,0,0
3VEU.A,16,6,1,0,0,0
7D2X.A,28,0,0,0,0,0
3HW1.B,29,3,3,0,0,0
4RRO.A,17,2,2,0,0,0
4FRI.A,21,8,2,0,0,0
5QCQ.C,22,7,2,0,0,0
4N00.A,15,3,1,0,0,0
3MSK.A,17,8,9,0,0,0
4H3J.A,19,3,3,0,0,0
4RCE.A,20,3,2,7,0,0
5QCP.B,16,16,3,0,0,0
3L5D.A,18,7,7,0,0,0
3IN3.A,22,13,6,0,0,0
5QD2.B,20,11,3,0,0,0
3IND.A,19,7,2,0,0,0
2HM1.A,17,3,0,0,0,0
3DV1.A,17,10,5,0,0,0
4R95.B,28,7,7,0,0,0
3KYR.C,18,11,2,0,3,3
4LXK.C,17,11,6,0,0,0
