Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013
6GOD.A,15,2,16,6,7,13,11,9,5,2,0,0,0,0
7YCE.A,17,12,0,0,12,14,0,0,0,11,0,2,0,0
5W22.B,25,8,16,6,12,0,6,11,5,1,0,0,0,0
2MSC.B,17,15,29,4,7,0,2,0,2,4,0,0,0,0
7ACF.B,21,10,2,9,9,5,0,11,11,2,0,0,0,0
6PTW.B,25,2,9,6,9,9,0,5,2,2,0,0,6,6
6BOF.A,0,0,7,16,0,1,0,14,11,0,19,0,3,0
6GQT.B,22,13,10,0,9,14,0,7,3,5,0,0,0,0
4OBE.B,14,16,0,8,9,13,0,0,6,13,0,0,0,0
7LC1.A,18,2,2,12,7,6,0,0,13,5,0,3,0,0
5OCO.C,24,11,0,6,7,9,0,10,5,7,0,0,0,0
7SCX.A,25,5,5,3,11,17,0,11,3,3,0,7,0,0
5VPY.A,13,4,0,13,4,0,8,15,13,0,0,0,0,0
5USJ.B,13,15,5,17,6,0,2,12,15,0,0,0,0,0
6O46.A,13,13,4,9,8,0,7,4,6,16,0,0,0,0
6GOG.C,14,11,0,11,7,16,0,10,3,5,0,0,0,0
6MS9.B,3,10,18,13,4,3,0,16,13,13,0,0,0,0
6GQY.D,17,0,7,5,10,13,0,11,8,2,0,0,0,0
4PZY.A,26,11,0,8,9,18,0,5,8,4,0,0,0,0
6GQX.F,10,5,4,8,8,15,0,15,12,14,2,0,0,0
5V71.B,16,14,11,1,7,0,0,7,6,1,0,0,0,0
5V9L.A,18,19,7,3,7,0,3,8,5,0,0,0,0,0
6ZLI.B,16,2,4,4,7,18,10,10,4,6,0,0,0,0
6YXW.A,24,14,1,7,7,0,8,3,9,1,0,0,0,0
6GOG.A,18,4,9,9,7,15,0,12,0,2,0,0,0,0
7ACA.D,17,9,19,7,7,2,0,3,1,8,0,0,0,0
6FA3.A,23,16,9,5,5,5,0,10,3,6,1,0,0,0
7ACA.C,19,14,2,13,7,3,0,5,7,13,0,0,0,0
7EWB.B,21,20,13,2,9,0,0,5,1,13,0,0,0,0
5UQW.B,23,16,16,7,8,0,0,12,6,7,0,0,0,0
6GOG.F,21,8,3,9,8,16,0,12,7,8,0,0,0,0
6MBT.A,15,21,15,2,8,12,0,0,2,16,0,0,0,0
5USJ.F,17,7,7,1,7,0,2,15,10,0,0,0,0,0
5UQW.A,19,16,3,4,9,0,7,13,4,3,0,0,0,0
8AFB.A,16,26,8,0,7,0,0,6,0,10,0,0,0,0
7ACA.A,22,7,13,9,7,2,0,10,10,0,0,0,0,0
5VQ1.A,21,12,0,9,12,0,8,11,7,0,2,9,0,0
4LPK.B,26,15,3,11,11,0,0,13,9,1,0,0,0,0
6GOM.D,16,0,16,9,9,12,0,9,9,0,0,0,0,0
6CU6.C,2,17,18,14,10,4,0,16,12,10,0,0,0,0
7A1W.A,18,3,0,8,10,16,0,11,7,13,0,0,0,0
6ZL5.A,16,6,5,13,8,0,3,11,10,8,0,11,0,0
6GOG.B,24,9,7,3,6,15,0,7,5,9,0,0,0,0
4LDJ.A,16,7,6,6,11,14,0,0,6,14,0,0,0,0
6XHB.A,17,3,4,5,6,16,10,2,10,3,0,0,0,0
6MNX.B,15,6,3,12,4,15,0,9,12,1,0,0,0,0
5VPZ.B,19,16,0,5,11,0,7,13,9,8,0,0,0,0
7ACH.A,22,2,0,11,6,6,6,7,9,0,12,0,15,10
6V65.C,27,0,4,7,8,11,6,6,11,0,0,0,0,0
5VPZ.A,14,14,0,10,11,0,6,14,10,7,0,0,0,0
8AFD.A,15,17,0,2,10,7,0,0,4,7,0,0,0,0
4DST.A,13,9,19,2,5,13,11,0,2,8,0,0,0,0
6BP1.A,13,0,8,10,13,15,2,13,1,2,1,10,0,0
5VQ2.A,16,14,1,5,9,0,4,14,10,1,0,0,0,0
7LC2.A,14,2,10,11,7,10,0,13,8,1,0,6,0,0
6GJ5.B,29,6,18,10,7,2,0,6,9,5,0,0,0,0
7LC2.B,23,12,0,8,11,7,4,8,3,0,0,6,0,0
6F76.D,25,2,6,10,9,4,0,12,12,3,1,0,0,0
6ASA.A,16,5,12,10,14,14,10,4,6,3,0,14,0,0
6MNX.C,16,4,0,14,7,3,13,13,2,0,0,0,0,0
6GJ7.A,18,4,9,13,7,0,0,11,12,0,0,0,0,0
6FA2.E,20,0,5,4,11,16,0,13,2,1,0,0,0,0
5XCO.A,16,22,6,7,7,0,6,11,7,7,0,2,0,0
8AFC.A,18,14,2,5,6,0,5,0,6,7,0,0,0,0
7EWA.C,2,13,6,14,2,1,20,13,15,5,0,0,0,0
6FA1.D,25,3,9,5,9,15,0,11,9,6,0,0,0,0
7EW9.A,17,26,0,8,9,0,0,7,0,11,0,0,0,0
6WS4.D,13,3,11,2,8,0,17,13,4,0,0,0,0,0
5W22.A,21,8,17,7,8,0,9,11,5,0,0,0,0,0
6O46.C,13,1,3,4,9,14,0,15,9,7,0,0,0,0
4QL3.A,19,15,9,5,11,16,0,0,4,13,0,0,0,0
6F76.A,17,8,5,3,9,14,0,0,8,8,3,0,0,0
6GOM.B,23,14,2,2,9,14,0,12,3,4,0,0,0,0
6VC8.A,22,13,10,8,8,8,0,6,8,10,0,0,0,0
5VP7.A,18,11,0,7,11,0,5,12,6,1,0,0,0,0
5USJ.C,16,2,0,6,6,14,0,14,11,0,0,0,2,2
6QUW.B,14,4,5,9,6,16,0,4,9,6,0,0,0,0
6GQX.B,14,8,3,8,6,17,0,10,8,2,1,0,0,0
6P0Z.B,16,18,0,8,9,12,0,0,9,13,0,0,0,0
4L8G.A,19,17,9,10,10,5,0,11,8,6,0,0,0,0
7KFZ.C,20,5,17,7,10,4,0,5,9,4,0,0,0,0
8AFC.B,6,8,2,28,2,15,2,0,20,14,0,0,0,0
5US4.B,18,4,0,9,14,0,2,9,11,0,4,12,0,0
5OCO.D,16,4,4,6,6,16,0,10,8,6,0,0,0,0
7T1F.B,14,0,12,5,10,0,0,16,8,0,0,0,0,0
4EPR.A,23,6,0,5,11,0,0,16,12,0,0,0,0,0
5V9L.B,20,16,15,1,7,0,0,10,3,3,0,0,0,0
7YCC.C,22,18,0,1,8,3,4,7,2,9,1,4,0,0
7U8H.A,17,10,0,4,9,12,0,9,6,10,0,0,0,0
5OCO.F,21,8,2,7,9,13,0,13,6,7,0,0,0,0
6GOM.F,14,5,4,8,8,15,0,13,11,13,0,0,0,0
6MNX.A,15,8,3,12,5,15,0,8,10,3,0,0,0,0
7MQU.A,19,13,9,7,11,11,0,0,0,13,0,0,0,0
6FA3.F,23,5,7,7,7,15,0,9,8,3,2,0,0,0
6MQN.B,3,17,18,13,3,0,0,16,14,1,0,1,0,0
5OCT.B,18,11,5,6,6,0,0,10,8,10,0,0,0,0
6FA4.A,22,10,2,4,8,14,2,9,5,2,2,0,0,0
6FA2.F,13,2,7,11,5,14,0,14,12,10,0,0,0,0
7EWB.C,18,19,0,0,7,0,0,6,0,14,0,0,0,0
7ROV.A,17,12,17,9,7,0,0,11,2,4,0,0,0,0
6EPL.R,10,8,4,14,21,4,10,0,2,8,17,15,0,0
6XGV.A,20,8,7,10,9,22,0,11,8,11,0,2,0,0
8AFD.D,21,14,0,17,6,5,0,0,11,11,0,0,0,0
6FA1.F,23,15,5,2,8,11,0,11,3,5,0,0,0,0
5VP7.F,18,13,4,2,9,0,3,12,5,0,0,0,0,0
2MSD.B,9,6,24,2,5,0,11,0,2,0,3,0,7,8
5V71.A,24,15,4,5,9,0,0,11,4,1,0,0,0,0
4EPT.A,22,11,0,6,8,6,0,9,7,5,0,0,0,0
5V71.D,20,16,6,8,10,0,0,12,5,2,0,0,0,0
6XI7.A,13,11,2,3,4,4,0,14,8,4,0,0,0,0
7TLK.B,17,18,13,11,10,0,0,11,8,4,0,0,0,0
4PZY.B,16,2,18,5,11,14,0,3,6,2,0,0,0,0
7LC1.C,18,1,0,7,10,12,7,12,0,7,0,4,0,0
6BOF.B,0,2,8,11,2,7,0,16,4,3,23,0,3,0
6MBU.A,21,11,20,4,7,0,9,10,4,1,0,0,0,0
7NY8.A,23,16,5,11,8,0,3,9,7,0,0,0,0,0
6FA4.F,23,4,6,3,6,15,0,14,8,4,2,0,0,0
6QUW.A,14,2,2,11,7,6,6,7,6,0,11,0,15,7
5VPI.B,17,0,0,11,5,0,14,13,5,0,0,0,0,0
4TQA.A,27,16,2,6,9,14,0,0,8,16,0,0,0,0
7ACQ.A,19,8,0,6,9,10,0,15,4,6,0,0,0,0
7TLK.A,14,14,8,0,10,0,0,12,0,8,0,0,0,0
6GOG.D,23,7,17,7,8,0,0,5,6,8,0,0,0,0
6FA4.E,15,4,2,10,8,18,0,13,0,6,2,0,0,0
6GJ6.A,14,8,4,6,7,13,0,6,12,9,0,2,0,0
7ACF.D,23,13,9,5,8,8,0,7,3,5,0,0,0,0
5TB5.C,8,0,0,10,2,14,26,15,8,8,0,5,0,0
4EPV.A,14,9,11,5,8,16,0,0,6,11,0,0,0,0
7EW9.B,26,22,14,0,8,0,0,6,2,8,0,0,0,0
3GFT.C,19,1,0,10,9,7,5,16,8,14,0,0,0,0
6CC9.B,15,11,21,1,5,0,0,0,0,7,0,0,0,0
4Q01.B,24,0,14,0,8,17,0,13,3,3,0,0,0,0
4LPK.A,17,17,0,12,13,0,0,14,8,4,0,0,0,0
6MNX.E,15,0,13,5,6,16,0,16,9,3,0,0,0,0
6ASE.A,11,4,8,9,11,12,5,11,0,3,0,11,0,0
7A1X.A,13,3,12,5,9,17,0,0,4,14,0,0,0,0
5USJ.D,28,10,3,4,7,14,0,4,13,10,0,0,0,0
4TQA.B,15,16,4,5,8,13,0,0,7,16,0,0,0,0
6MQN.C,5,11,14,14,16,0,7,15,12,0,1,0,0,0
4Q03.A,13,13,11,4,9,17,0,0,3,12,0,0,0,0
7T1F.C,15,15,0,9,9,11,0,16,8,5,0,0,0,0
6V5L.A,17,7,2,3,7,15,0,4,0,9,0,0,0,0
7ACA.B,16,9,2,12,8,0,0,2,12,0,0,0,0,0
6P0Z.A,22,16,3,7,10,15,0,3,7,15,0,0,0,0
7NY8.B,15,18,0,9,9,0,0,13,6,0,0,0,0,0
8AFD.C,16,11,16,11,12,7,0,0,10,5,0,0,0,0
6WS2.B,15,14,0,5,9,0,9,11,3,2,0,0,0,0
2MSE.B,25,9,13,4,7,0,15,6,2,1,0,0,0,0
6GQY.C,23,5,2,7,8,16,0,7,11,0,0,0,0,0
6XGU.A,28,8,2,10,10,16,0,0,7,2,0,0,0,0
5V71.E,23,14,18,4,6,0,0,9,5,0,0,0,0,0
3GFT.D,11,13,0,8,6,0,13,15,12,2,0,0,0,0
7ACF.C,29,18,3,5,8,12,0,5,3,9,0,0,0,0
6OB3.C,28,5,0,5,10,16,8,0,9,5,0,0,0,0
5OCT.A,13,8,0,7,6,9,0,8,7,12,0,0,0,0
6CCX.B,17,4,20,4,6,3,15,7,6,0,0,0,0,0
6QUU.A,26,2,0,9,7,17,3,3,5,2,12,0,16,8
6MNX.F,18,10,4,7,7,7,0,13,9,10,0,0,0,0
6MNX.D,11,4,2,12,5,16,3,2,11,6,0,0,0,0
5OCO.B,22,11,3,3,6,7,0,9,8,4,0,0,0,0
5OCO.E,23,6,4,9,8,14,0,9,0,7,0,0,0,0
7T1F.A,21,6,5,7,11,0,8,15,6,0,0,0,0,0
6GQX.A,15,19,2,4,8,15,0,2,8,9,2,0,0,0
6XHA.A,19,3,0,5,8,16,3,9,6,5,0,5,0,0
5KYK.C,16,14,4,7,11,0,7,0,8,12,0,0,0,0
6WS4.C,14,2,9,6,9,0,14,13,6,0,0,0,0,0
3GFT.A,23,5,4,6,7,10,0,14,9,0,0,0,0,0
5VQ2.B,15,15,0,9,5,0,5,11,10,1,0,0,0,0
5OCT.D,19,0,0,7,6,12,0,10,11,1,0,0,0,0
7ACQ.C,17,18,0,7,9,0,0,13,9,4,0,0,0,0
5VPY.B,15,2,0,11,4,0,10,15,13,0,0,0,0,0
6FA1.C,22,6,2,4,9,13,0,10,8,10,0,0,0,0
5KYK.A,13,14,5,2,5,1,17,0,8,12,0,2,0,0
6VC8.C,6,13,15,19,5,2,0,14,15,7,0,0,0,0
7LZ5.A,22,14,7,0,15,0,3,0,5,12,0,2,0,0
7U8H.D,17,15,0,3,9,7,0,13,6,1,0,0,0,0
6GQW.B,23,5,3,10,9,12,0,10,10,1,0,0,0,0
6GQT.F,12,2,4,11,11,16,0,16,12,12,0,0,0,0
7KYZ.A,6,13,0,6,0,0,23,2,5,0,0,0,14,14
5VPI.A,18,0,2,9,5,0,15,15,4,0,0,0,0,0
7KMR.A,0,19,28,10,0,4,0,12,0,0,16,0,0,0
7YCC.B,20,17,0,2,9,0,7,10,3,3,0,2,0,0
6GOM.E,26,2,4,7,9,16,0,11,5,0,0,0,0,0
6MBT.B,24,17,2,7,8,14,0,0,6,14,0,0,0,0
6F76.B,21,13,17,5,10,4,0,0,10,2,0,0,0,0
7A47.E,21,13,2,8,12,1,0,4,2,7,10,19,0,0
7U8H.C,22,16,12,8,5,9,0,10,8,4,0,0,0,0
4OBE.A,22,18,4,5,11,16,0,2,3,17,0,0,0,0
6WS4.B,14,14,4,6,8,0,8,11,2,6,0,0,0,0
7ACQ.B,24,12,0,6,10,4,0,14,8,4,0,0,0,0
7U8H.B,28,15,0,5,7,7,0,2,6,4,0,0,0,0
6QUX.A,16,1,0,9,7,7,7,8,3,0,9,0,13,7
6GQW.C,20,0,5,10,9,16,0,5,9,0,0,0,0,0
5VQ0.B,16,11,0,8,12,0,5,15,7,1,4,8,0,0
6QUV.B,14,7,3,12,8,16,0,13,9,5,0,0,0,0
6MS9.C,2,23,8,13,4,16,2,13,11,18,0,0,0,0
6FA4.D,15,3,3,8,9,13,0,9,8,3,2,0,0,0
6GQT.A,16,9,13,6,7,0,0,14,8,2,0,0,0,0
6VC8.B,24,4,2,11,7,3,0,13,10,4,0,0,0,0
6CU6.A,13,4,4,4,7,16,2,11,3,20,0,0,0,0
7A47.A,23,2,0,10,17,1,0,12,8,3,15,21,0,0
6FA1.E,13,0,9,2,6,16,0,12,4,12,0,0,0,0
7SCW.A,13,7,11,13,9,5,0,0,6,0,0,3,0,0
6WS4.A,14,16,4,3,8,0,8,12,2,6,0,0,0,0
5TAR.A,12,2,20,7,12,0,9,13,5,1,6,11,0,0
