Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013,Binding Site 014
5R8Y.A,11,18,11,7,9,0,0,0,0,0,5,4,0,3,0
4DLJ.A,21,24,10,4,10,5,0,0,0,0,1,0,0,0,0
5R9L.A,15,22,7,8,12,0,0,0,0,0,6,6,0,2,0
5NZZ.F,21,4,17,5,12,0,0,0,0,0,5,0,0,0,0
5R9H.A,12,26,11,8,10,0,0,0,0,0,5,6,0,10,0
3FKN.A,21,18,16,6,12,0,2,0,0,0,5,0,0,3,0
4EH5.A,24,19,5,5,6,3,5,0,0,0,7,0,0,0,3
3FMN.A,18,16,15,9,14,0,7,0,0,0,2,0,0,1,0
3ODY.X,17,8,14,9,10,0,0,0,0,0,14,0,0,0,0
5ETA.B,27,16,7,6,8,0,0,0,0,0,4,0,0,0,0
1ZZ2.A,17,9,20,6,0,0,0,0,0,0,6,0,8,2,0
5R9O.A,12,24,1,7,10,8,2,0,0,0,3,0,0,2,0
2BAJ.A,14,21,7,0,0,0,0,0,0,0,7,1,6,10,0
2YIS.A,26,18,8,5,5,2,0,0,0,0,3,0,0,0,0
6SFI.A,13,12,14,5,10,5,4,0,0,0,4,0,5,0,5
3OBJ.A,13,17,11,3,10,5,1,0,0,0,3,0,6,0,0
3FSF.A,12,16,12,7,13,0,4,0,0,0,5,0,0,0,0
2I0H.A,16,4,10,5,10,0,2,0,0,0,4,0,0,4,0
2EWA.A,14,12,11,5,9,5,0,0,0,0,5,0,0,0,0
3ZSH.A,25,6,0,4,10,6,3,0,0,0,0,0,0,0,0
3BV3.A,14,11,2,3,9,0,0,0,0,0,1,0,2,0,0
2ZB0.A,12,7,5,6,12,0,0,0,0,0,5,5,2,3,0
5N63.A,20,15,4,5,4,8,0,0,0,0,3,0,0,0,7
1W82.A,12,15,9,6,10,0,0,0,0,0,4,0,2,2,0
6M9L.A,18,13,15,6,14,0,10,0,0,0,7,0,0,1,0
4KA3.A,21,13,6,9,12,0,0,0,0,0,5,0,0,0,0
2RG5.A,14,4,1,9,11,0,0,0,0,0,3,0,8,1,0
3DS6.C,21,5,12,4,9,4,10,0,0,0,2,2,0,0,0
4KIN.D,10,8,22,6,12,0,7,0,0,0,7,0,2,0,0
1BL7.A,20,13,17,11,10,0,0,0,0,0,7,0,4,2,0
5R8V.A,12,19,5,7,10,11,0,0,0,0,2,0,0,2,0
4DLI.A,24,15,2,5,9,4,6,0,0,0,1,0,0,0,3
1WBV.A,13,15,14,11,4,0,1,0,0,0,9,0,0,2,0
3HV4.B,18,14,11,9,9,3,0,0,0,0,5,0,3,0,0
5R98.A,12,14,4,7,10,12,0,0,0,0,5,5,0,0,0
5R9M.A,14,9,7,11,12,0,0,0,0,0,2,8,0,5,0
3MH0.A,21,2,1,6,12,9,8,0,0,0,0,0,10,0,6
5R9V.A,12,26,2,5,11,4,0,0,0,0,3,2,0,5,0
4L8M.A,15,13,13,10,11,0,0,0,0,0,1,0,8,0,0
2BAK.A,16,23,5,0,12,0,0,0,0,0,3,0,9,0,0
1R3C.A,13,13,13,8,12,0,0,0,0,0,4,2,0,11,0
3FLW.A,19,18,16,10,11,0,0,0,0,0,1,0,0,0,0
2GFS.A,20,14,14,6,11,0,3,0,0,0,5,0,0,1,0
3UVP.A,21,14,11,4,12,8,3,0,0,0,4,0,0,0,3
4EH8.A,15,12,4,5,11,2,6,0,0,0,3,0,2,0,2
5N68.A,22,20,19,8,3,6,2,0,0,0,5,0,4,0,0
4EH9.A,24,22,14,3,8,3,2,0,0,0,1,0,0,0,2
3O8U.A,9,14,16,7,10,5,0,0,0,0,4,0,3,0,0
5R9F.A,15,13,13,7,11,0,0,0,0,0,5,5,0,11,0
6TCA.F,18,0,15,9,10,1,0,0,0,0,8,1,0,0,0
3OCG.A,13,22,2,6,10,0,0,0,0,0,1,0,0,0,0
2QD9.A,16,7,3,8,13,0,13,0,0,0,0,0,11,2,0
1A9U.A,21,16,14,0,11,0,3,0,0,0,2,6,0,12,0
3HV6.A,15,16,6,5,9,3,0,0,0,0,5,0,2,0,0
1WBT.A,13,24,12,11,4,0,2,0,0,0,2,0,2,2,0
1WBN.A,13,17,14,4,11,0,0,0,0,0,9,0,0,1,0
6HWU.A,14,21,14,9,0,6,5,0,0,0,0,0,11,0,2
5RA2.A,16,9,2,7,12,0,0,0,0,0,2,11,0,8,0
3MVM.B,19,11,2,7,0,0,0,0,0,0,3,0,13,5,0
1WBW.A,12,18,13,9,10,0,0,0,0,0,3,0,6,1,0
5ETI.A,17,0,16,13,12,0,0,0,0,0,3,2,0,0,0
5R9Q.A,15,24,0,2,10,0,0,0,0,0,7,2,0,7,0
2YIW.A,15,17,7,12,2,0,2,0,0,0,5,0,8,0,0
1W7H.A,21,16,12,4,8,0,0,0,0,0,5,0,0,1,0
1OUY.A,29,13,0,9,10,0,0,0,0,0,7,0,0,4,0
5O8V.A,14,10,4,5,9,4,5,0,0,0,3,0,2,0,2
3TG1.A,15,17,17,9,3,6,5,0,0,0,0,0,0,0,1
3GFE.A,13,20,22,8,8,0,0,0,0,0,7,2,0,0,0
4AA0.A,18,15,9,0,11,0,0,0,0,0,2,0,11,0,0
3ODZ.X,16,0,9,5,8,8,0,0,0,0,7,0,0,0,1
4KIN.B,25,11,4,9,5,0,0,0,0,0,2,0,7,9,0
4KIN.C,14,4,3,9,12,0,0,0,0,0,2,0,10,2,0
4E6C.A,16,13,9,5,8,10,0,0,0,0,6,0,0,0,2
6QE1.A,18,19,6,5,9,0,2,0,0,0,4,0,2,0,0
5R8X.A,14,14,14,4,12,0,0,0,0,0,3,11,0,11,0
3ZS5.A,8,12,15,7,10,6,0,0,0,0,3,0,2,0,2
5RA8.A,14,15,7,3,10,0,0,0,0,0,7,4,0,4,0
8A8M.A,17,11,1,0,0,0,0,0,11,11,10,0,0,5,0
5TBE.A,19,17,0,8,5,4,7,0,0,0,0,0,2,0,2
4ZTH.A,20,16,0,5,2,2,8,0,0,0,1,0,3,0,2
6SOU.A,20,14,9,4,9,6,0,0,0,0,4,0,0,3,0
1YWR.A,20,2,6,5,0,22,0,0,0,0,5,2,8,1,6
4KIP.A,20,11,0,10,3,2,0,0,0,0,3,0,0,0,2
3BV2.A,19,18,0,2,2,5,0,0,0,0,1,0,5,0,4
1W84.A,16,25,9,11,9,0,0,0,0,0,2,0,3,9,0
2OKR.D,18,6,7,9,7,0,10,0,0,0,6,0,0,1,0
1WBS.A,20,20,14,9,8,0,1,0,0,0,3,0,0,3,0
3QUD.A,13,12,2,5,10,7,11,0,0,0,0,0,8,0,1
5ETF.A,14,12,12,6,11,0,0,0,0,0,0,0,0,1,0
4KIQ.B,24,10,6,7,14,0,0,0,0,0,1,0,8,7,0
3HV5.B,14,19,12,5,9,3,0,0,0,0,6,0,0,0,1
4LOQ.D,18,18,7,4,9,0,5,0,0,0,1,4,0,7,0
6Y4X.A,25,18,12,3,7,0,3,0,0,0,8,0,0,0,0
1OUK.A,16,13,0,7,9,0,0,0,0,0,5,0,0,7,0
3E92.A,16,4,6,11,12,0,5,0,0,0,4,0,0,2,0
2ONL.B,11,14,12,11,11,0,0,0,0,0,2,0,0,4,0
5R8Z.A,15,11,1,6,12,0,0,0,0,0,1,2,0,4,0
3MW1.A,14,17,15,4,12,0,0,0,0,0,2,0,0,0,0
3HL7.A,19,10,0,3,12,4,3,0,0,0,2,0,3,6,4
3NEW.A,17,7,0,9,11,11,4,0,0,0,0,0,0,0,6
3K3J.A,19,17,9,7,0,2,0,0,0,0,8,0,0,0,0
6ZWR.A,17,19,7,4,9,3,0,0,0,0,5,0,3,0,0
3HRB.A,20,7,11,6,12,0,0,0,0,0,3,4,0,6,0
2NPQ.A,17,22,4,6,10,7,0,0,0,0,0,0,2,0,0
3MH2.A,18,18,18,10,12,4,2,0,0,0,5,0,0,1,1
5R9P.A,13,10,1,13,12,0,0,0,0,0,5,9,0,5,0
5RA5.A,13,12,0,6,11,0,0,0,0,0,5,8,0,8,0
4KIQ.D,22,8,4,4,12,0,3,0,0,0,1,0,9,7,0
3LFA.A,21,19,4,6,11,7,0,0,0,0,1,0,0,0,0
3FLQ.A,16,11,0,8,12,0,0,0,0,0,8,0,5,0,0
3ZSI.A,15,11,1,4,7,3,8,0,0,0,0,0,5,0,0
1W83.A,17,16,15,8,10,0,0,0,0,0,9,0,3,0,0
1WFC.A,16,13,13,4,11,0,0,0,0,0,3,0,0,0,0
4EH7.A,18,21,1,7,10,4,7,0,0,0,1,0,4,0,2
4E8A.A,19,8,6,10,11,20,0,0,0,0,1,0,3,0,8
3FMK.A,26,5,1,13,13,0,7,0,0,0,0,0,3,2,0
6SOI.A,15,9,18,6,9,0,0,0,0,0,9,2,0,6,0
3MVL.A,28,5,3,8,11,0,0,0,0,0,2,0,4,2,0
5NZZ.E,26,2,19,7,10,0,0,0,0,0,4,0,0,0,0
3FMH.A,15,11,2,6,12,0,0,0,0,0,1,0,0,3,0
5NZZ.G,27,1,19,8,9,0,0,0,0,0,3,0,0,0,0
5MTX.A,22,9,0,4,9,7,3,0,0,0,1,0,0,0,3
3KQ7.A,14,14,8,5,11,0,0,0,0,0,3,0,2,0,0
5O8U.A,16,19,6,5,10,5,0,0,0,0,4,0,0,0,1
6Y4V.A,19,14,5,3,5,2,3,0,0,0,5,0,0,0,0
3L8X.A,14,3,16,7,12,0,0,0,0,0,4,0,12,0,0
6YJC.A,26,25,7,5,10,0,0,0,0,0,3,0,0,0,0
5R9C.A,15,9,3,9,11,0,0,0,0,0,3,9,0,8,0
5R9A.A,14,16,0,5,10,7,0,0,0,0,4,9,0,1,2
4R3C.A,17,10,10,5,9,2,0,0,0,0,9,0,0,0,0
3FSK.A,21,20,16,7,12,0,0,0,0,0,3,0,0,0,0
3FLS.A,17,3,1,10,13,0,0,0,0,0,6,0,5,3,0
5R8W.A,12,20,3,7,10,15,0,0,0,0,4,2,2,0,1
6Y6V.A,20,20,3,4,11,0,0,0,0,0,5,0,9,0,0
5R8U.A,15,16,9,3,8,0,3,0,0,0,4,0,0,6,0
4FA2.A,21,15,1,4,11,2,6,0,0,0,3,0,0,0,1
1KV2.A,17,22,7,2,3,0,0,0,0,0,5,0,5,0,0
3FKL.A,15,4,3,10,13,0,2,0,0,0,1,0,3,2,0
3D83.A,17,17,8,7,9,0,0,0,0,0,4,0,2,2,0
3HUC.A,16,20,13,8,10,6,0,0,0,0,3,0,0,0,1
6TCA.B,18,0,7,6,0,9,3,0,0,0,10,0,0,0,2
3S4Q.A,23,3,13,9,7,13,0,0,0,0,5,0,0,0,1
5R9B.A,14,6,6,6,10,0,0,0,0,0,4,5,0,2,0
3HVC.A,17,11,10,7,10,6,13,0,0,0,2,0,2,0,5
3UVQ.A,21,20,18,3,0,4,4,0,0,0,5,0,10,0,1
5R9Z.A,15,22,0,6,10,5,0,0,0,0,5,4,0,3,0
5R9R.A,19,5,0,7,9,0,3,0,0,0,4,8,2,4,0
4E6A.A,13,18,5,6,11,21,0,0,0,0,2,0,0,0,0
5R9X.A,14,8,0,7,12,0,0,0,0,0,5,7,0,7,0
3D7Z.A,24,0,8,6,5,0,16,0,0,0,3,0,5,0,0
2BAQ.A,10,12,0,5,3,0,5,0,0,0,0,0,11,1,0
3ITZ.A,16,11,10,5,8,0,4,0,0,0,5,0,0,0,0
3P4K.A,16,11,8,9,9,0,6,0,0,0,1,0,6,0,0
3FKO.A,19,0,14,10,13,0,14,0,0,0,3,0,2,0,0
3U8W.A,15,6,3,7,11,0,2,0,0,0,2,5,0,2,0
3FLZ.A,17,11,3,10,12,0,0,0,0,0,2,0,0,7,0
3GC7.A,15,4,19,5,11,0,7,0,0,0,7,0,0,0,0
5R9D.A,14,14,13,8,12,0,0,0,0,0,1,15,0,9,0
5R90.A,15,14,10,7,12,0,0,0,0,0,4,4,0,9,0
4A9Y.A,16,23,5,0,12,0,0,0,0,0,1,0,9,0,0
3MVM.A,25,0,6,9,9,0,0,0,0,0,4,0,0,0,0
5R9K.A,18,15,1,3,9,0,0,0,0,0,3,6,0,11,0
1M7Q.A,15,13,3,6,10,0,0,0,0,0,6,0,0,2,0
6SO1.A,16,10,9,8,12,0,0,0,0,0,4,5,3,6,0
1ZYJ.A,21,10,14,4,10,4,7,0,0,0,4,0,0,0,0
1R39.A,23,13,13,7,9,0,0,0,0,0,1,2,0,2,0
5N65.A,14,19,6,0,10,15,0,0,0,0,0,0,0,0,11
1LEZ.A,8,18,5,7,2,0,8,0,0,0,3,0,5,0,0
3FC1.X,20,14,14,9,13,0,0,0,0,0,4,0,9,0,0
3O8T.A,17,18,10,4,10,4,0,0,0,0,5,0,0,0,0
3OC1.A,19,14,2,5,11,6,1,0,0,0,2,0,6,0,2
6YK7.A,13,16,9,4,8,4,0,0,0,0,6,0,0,0,0
2ONL.A,15,9,7,11,12,0,2,0,0,0,0,0,0,4,0
4EH3.A,14,10,2,4,3,3,5,0,0,0,0,0,6,0,1
1YQJ.A,19,12,12,10,8,0,0,0,0,0,4,0,0,3,0
5R9I.A,16,9,7,9,13,0,0,0,0,0,3,0,0,2,0
5XYX.A,19,19,1,11,13,0,0,0,0,0,4,0,0,1,0
5ETA.A,19,14,14,6,13,0,13,0,0,0,1,0,0,0,0
4KIQ.C,21,9,6,8,12,0,0,0,0,0,2,0,10,6,0
4EHV.A,25,25,12,4,5,0,3,0,0,0,3,0,0,0,0
3HA8.A,23,10,10,4,13,0,4,0,0,0,8,0,0,0,0
3BX5.A,14,14,20,4,9,0,5,0,0,0,6,0,8,0,0
5R97.A,13,25,5,5,7,0,0,0,0,0,2,5,0,5,0
3QUE.A,14,11,0,4,11,8,2,0,0,0,0,0,5,0,0
1OVE.A,22,5,11,4,10,0,0,0,0,0,5,2,0,3,0
3DS6.B,15,9,6,10,11,0,4,0,0,0,2,0,5,0,0
6SFK.A,25,16,3,0,8,0,0,0,0,0,7,0,0,0,0
3FI4.A,14,9,0,15,13,0,10,0,0,0,2,0,0,3,0
5N67.A,18,17,15,7,0,6,0,0,0,0,5,0,7,0,3
4KIN.A,16,8,4,8,14,0,0,0,0,0,1,0,6,7,0
6QDZ.A,14,16,5,6,4,4,5,0,0,0,8,0,2,0,0
5R96.A,16,14,10,6,11,0,0,0,0,0,4,8,0,6,0
6TCA.D,17,0,10,8,11,0,4,0,0,0,9,0,0,0,0
3HP5.A,18,9,9,3,10,7,6,0,0,0,7,0,2,0,0
4EH6.A,24,11,10,3,9,4,3,0,0,0,4,0,0,0,3
3MH1.A,16,21,10,7,12,0,0,0,0,0,0,0,8,0,0
4F9Y.A,22,9,3,6,0,3,17,0,0,0,2,0,0,2,1
3FML.A,15,8,0,22,14,0,4,0,0,0,3,0,9,0,0
3IPH.A,18,13,1,5,11,0,0,0,0,0,2,0,0,5,0
6HWT.A,14,14,14,11,12,5,6,0,0,0,1,0,0,0,0
5R9J.A,18,14,13,7,13,0,0,0,0,0,3,10,0,12,0
6SOD.A,14,8,9,8,11,0,2,0,0,0,6,0,0,2,0
3DS6.D,13,11,10,5,9,0,0,0,0,0,3,0,3,3,0
5RA4.A,13,9,0,5,12,0,2,0,0,0,4,6,0,7,0
3FL4.A,18,13,14,9,11,0,8,0,0,0,3,0,3,1,0
2ZB1.A,20,10,15,11,0,0,7,0,0,0,5,0,3,4,0
3UVR.A,22,18,4,5,8,2,0,0,0,0,2,0,0,0,0
1BMK.A,20,14,14,16,10,0,0,0,0,0,0,4,0,2,0
4EH2.A,20,8,7,5,12,5,2,0,0,0,6,0,0,1,3
5RA9.A,14,14,2,4,10,0,0,0,0,0,5,4,0,5,0
4E5A.X,18,8,8,10,13,0,2,0,0,0,4,0,3,0,0
5MTY.A,21,11,7,5,10,10,0,0,0,0,3,0,0,0,5
2Y8O.A,19,3,4,7,12,0,2,0,0,0,3,0,0,1,0
7BDO.A,20,21,10,3,9,0,0,0,0,0,7,0,8,1,0
3HP2.A,12,20,0,5,10,2,10,0,0,0,0,0,2,0,0
3OD6.X,17,0,15,6,8,18,0,0,0,0,6,0,0,0,0
3ROC.A,21,3,2,9,0,5,12,0,0,0,4,1,3,0,2
5R94.A,16,19,8,6,11,0,0,0,0,0,4,2,0,6,0
4KIQ.A,14,18,3,3,12,0,0,0,0,0,1,0,0,5,0
5R92.A,15,12,10,5,12,0,0,0,0,0,4,5,0,8,0
3DS6.A,16,13,12,5,5,0,6,0,0,0,2,0,0,5,0
